Date,Open,High,Low,Close,Adj Close,Volume
10/23/2020,1899.900024,1913.300049,1896.199951,1902.0,1902.0,287.0
10/26/2020,1895.5,1907.0,1893.5,1902.699951,1902.699951,242.0
10/27/2020,1904.599976,1908.800049,1904.400024,1908.800049,1908.800049,176.0
10/28/2020,1870.900024,1876.199951,1870.900024,1876.199951,1876.199951,277.0
10/29/2020,1876.099976,1879.800049,1858.800049,1865.599976,1865.599976,240.0
10/30/2020,1862.800049,1886.599976,1862.800049,1877.400024,1877.400024,725.0
11/02/2020,1872.900024,1894.699951,1872.900024,1890.400024,1890.400024,190.0
11/03/2020,1891.5,1908.5,1891.5,1908.5,1908.5,712.0
11/04/2020,1893.800049,1907.0,1885.300049,1894.599976,1894.599976,782.0
11/05/2020,1901.699951,1948.0,1901.699951,1945.300049,1945.300049,135.0
11/06/2020,1940.800049,1958.800049,1940.800049,1950.300049,1950.300049,304.0
11/09/2020,1955.599976,1963.199951,1847.099976,1853.199951,1853.199951,745.0
11/10/2020,1879.300049,1885.300049,1871.199951,1875.400024,1875.400024,276.0
11/11/2020,1878.800049,1878.800049,1855.5,1860.699951,1860.699951,222.0
11/12/2020,1869.0,1878.5,1866.599976,1872.599976,1872.599976,220.0
11/13/2020,1877.0,1890.099976,1876.800049,1885.699951,1885.699951,240.0
11/16/2020,1874.599976,1887.300049,1871.0,1887.300049,1887.300049,6.0
11/17/2020,1888.400024,1888.400024,1884.5,1884.5,1884.5,59.0
11/18/2020,1873.5,1873.5,1873.5,1873.5,1873.5,152.0
11/19/2020,1865.800049,1865.800049,1856.0,1861.099976,1861.099976,59.0
11/20/2020,1871.199951,1872.599976,1871.199951,1872.599976,1872.599976,1900.0
11/23/2020,1834.800049,1837.800049,1829.199951,1837.800049,1837.800049,843.0
11/24/2020,1829.300049,1829.300049,1799.300049,1804.800049,1804.800049,1041.0
11/25/2020,1801.400024,1805.699951,1801.400024,1805.699951,1805.699951,205754.0
11/27/2020,,,,,,
11/30/2020,1785.0,1787.199951,1762.300049,1775.699951,1775.699951,3145.0
12/01/2020,1775.0,1815.900024,1774.900024,1814.099976,1814.099976,1859.0
12/02/2020,1811.300049,1830.0,1807.800049,1825.699951,1825.699951,771.0
12/03/2020,1829.199951,1842.0,1825.300049,1836.800049,1836.800049,1765.0
12/04/2020,1840.699951,1847.599976,1828.199951,1835.900024,1835.900024,1213.0
12/07/2020,1836.5,1866.900024,1820.800049,1861.800049,1861.800049,1427.0
12/08/2020,1863.0,1875.800049,1861.800049,1870.800049,1870.800049,121.0
