Date,Open,High,Low,Close,Adj Close,Volume
10/23/2020,6.6835,6.6916,6.6602,6.6835,6.6835,0
10/26/2020,6.6858,6.7132,6.6782,6.6857,6.6857,0
10/27/2020,6.7113,6.7227,6.6963,6.7113,6.7113,0
10/28/2020,6.7044,6.729,6.704,6.7044,6.7044,0
10/29/2020,6.7279,6.7283,6.6966,6.7279,6.7279,0
10/30/2020,6.714,6.7144,6.671,6.714,6.714,0
11/02/2020,6.6917,6.6995,6.6794,6.6891,6.6891,0
11/03/2020,6.6897,6.6957,6.6717,6.6897,6.6897,0
11/04/2020,6.6765,6.7532,6.652,6.6766,6.6766,0
11/05/2020,6.652,6.661,6.6025,6.652,6.652,0
11/06/2020,6.6052,6.6365,6.5993,6.6052,6.6052,0
11/09/2020,6.6105,6.629,6.5719,6.6104,6.6104,0
11/10/2020,6.6281,6.6286,6.5966,6.6281,6.6281,0
11/11/2020,6.6148,6.631,6.5838,6.6148,6.6148,0
11/12/2020,6.6308,6.6324,6.6063,6.6308,6.6308,0
11/13/2020,6.6106,6.6254,6.5971,6.6106,6.6106,0
11/16/2020,6.6054,6.6054,6.5605,6.6054,6.6054,0
11/17/2020,6.5838,6.5842,6.547,6.5838,6.5838,0
11/18/2020,6.5551,6.5638,6.5311,6.5551,6.5551,0
11/19/2020,6.5595,6.5909,6.5511,6.5595,6.5595,0
11/20/2020,6.5824,6.5825,6.5597,6.5824,6.5824,0
11/23/2020,6.562,6.585,6.5546,6.5619,6.5619,0
11/24/2020,6.5845,6.5916,6.5713,6.5845,6.5845,0
11/25/2020,6.5902,6.5906,6.5658,6.5902,6.5902,0
11/26/2020,6.5775,6.5782,6.555,6.5775,6.5775,0
11/27/2020,6.5745,6.5828,6.5685,6.5745,6.5745,0
11/30/2020,6.5759,6.5935,6.5645,6.576,6.576,0
12/01/2020,6.5778,6.5857,6.5594,6.5778,6.5778,0
12/02/2020,6.5708,6.5713,6.5441,6.5708,6.5708,0
12/03/2020,6.5624,6.5632,6.5418,6.5624,6.5624,0
12/04/2020,6.5414,6.5511,6.5223,6.5414,6.5414,0
12/07/2020,6.5306,6.542,6.5285,6.5306,6.5306,0
12/08/2020,6.5287,6.5381,6.5164,6.5287,6.5287,0
12/09/2020,6.5317,6.5442,6.5144,6.5317,6.5317,0
12/10/2020,6.5422,6.5513,6.5347,6.5422,6.5422,0
12/11/2020,6.5444,6.5473,6.5275,6.5444,6.5444,0
12/14/2020,6.5457,6.5498,6.5323,6.5457,6.5457,0
12/15/2020,6.5497,6.555,6.5355,6.5497,6.5497,0
12/16/2020,6.5383,6.5447,6.5194,6.5383,6.5383,0
12/17/2020,6.5313,6.5391,6.5195,6.5313,6.5313,0
12/18/2020,6.5321,6.5437,6.5231,6.5321,6.5321,0
12/21/2020,6.5367,6.5544,6.5367,6.536,6.536,0
12/22/2020,6.5482,6.5525,6.5326,6.5482,6.5482,0
12/23/2020,6.5422,6.5541,6.5289,6.5422,6.5422,0
12/24/2020,6.5396,6.5398,6.5196,6.5396,6.5396,0
