Date,Open,High,Low,Close,Adj Close,Volume
06/24/2021,33933.910156,34233.019531,33933.910156,34196.820313,34196.820313,275870000
06/25/2021,34328.101563,34501.019531,34314.800781,34433.839844,34433.839844,432550000
06/28/2021,34428.101563,34449.648438,34186.128906,34283.269531,34283.269531,280280000
06/29/2021,34338.890625,34469.828125,34266.828125,34292.289063,34292.289063,282360000
06/30/2021,34290.738281,34553.160156,34245.480469,34502.511719,34502.511719,295560000
07/01/2021,34507.320313,34640.28125,34498.851563,34633.53125,34633.53125,268280000
07/02/2021,34642.421875,34821.929688,34613.488281,34786.351563,34786.351563,301860000
07/06/2021,34790.160156,34814.199219,34358.421875,34577.371094,34577.371094,348430000
07/07/2021,34604.171875,34708.78125,34435.589844,34681.789063,34681.789063,302700000
07/08/2021,34569.011719,34569.011719,34145.589844,34421.929688,34421.929688,335690000
07/09/2021,34457.511719,34893.71875,34457.511719,34870.160156,34870.160156,301750000
07/12/2021,34836.75,35014.898438,34730.148438,34996.179688,34996.179688,294800000
07/13/2021,34959.960938,35018.789063,34876.890625,34888.789063,34888.789063,322430000
07/14/2021,34920.828125,35069.179688,34826.871094,34933.230469,34933.230469,344340000
07/15/2021,34924.808594,34990.410156,34762.871094,34987.019531,34987.019531,320450000
07/16/2021,35007.941406,35090.011719,34647.820313,34687.851563,34687.851563,322980000
07/19/2021,34528.480469,34528.480469,33741.761719,33962.039063,33962.039063,440440000
07/20/2021,33981.789063,34621.789063,33981.789063,34511.988281,34511.988281,387020000
07/21/2021,34556.960938,34820.238281,34556.960938,34798.0,34798.0,317090000
07/22/2021,34799.679688,34879.28125,34673.03125,34823.351563,34823.351563,291610000
07/23/2021,34855.109375,35095.328125,34855.109375,35061.550781,35061.550781,314040000
07/26/2021,35055.859375,35150.371094,34950.191406,35144.308594,35144.308594,259790000
07/27/2021,35078.898438,35078.898438,34878.070313,35058.519531,35058.519531,326610000
07/28/2021,35109.949219,35116.371094,34876.839844,34930.929688,34930.929688,347170000
07/29/2021,34985.988281,35171.519531,34985.988281,35084.53125,35084.53125,222680000
07/30/2021,35013.261719,35106.300781,34871.128906,34935.46875,34935.46875,276410000
08/02/2021,34968.558594,35192.109375,34808.199219,34838.160156,34838.160156,238620000
08/03/2021,34864.101563,35120.941406,34714.328125,35116.398438,35116.398438,259820000
08/04/2021,35047.441406,35047.441406,34790.621094,34792.671875,34792.671875,245300000
08/05/2021,34815.609375,35067.539063,34815.609375,35064.25,35064.25,216580000
08/06/2021,35077.441406,35246.789063,35077.441406,35208.511719,35208.511719,231570000
08/09/2021,35229.671875,35229.671875,35041.238281,35101.851563,35101.851563,207850000
08/10/2021,35135.171875,35285.160156,35091.910156,35264.671875,35264.671875,255040000
08/11/2021,35300.890625,35501.160156,35300.890625,35484.96875,35484.96875,232800000
08/12/2021,35481.941406,35510.769531,35352.53125,35499.851563,35499.851563,231600000
08/13/2021,35551.558594,35610.570313,35474.78125,35515.378906,35515.378906,236790000
08/16/2021,35490.828125,35631.191406,35231.871094,35625.398438,35625.398438,292590000
08/17/2021,35500.011719,35500.011719,35120.308594,35343.28125,35343.28125,309410000
08/18/2021,35310.199219,35356.800781,34943.410156,34960.691406,34960.691406,289800000
08/19/2021,34874.671875,34997.808594,34690.25,34894.121094,34894.121094,333550000
08/20/2021,34917.960938,35177.261719,34867.070313,35120.078125,35120.078125,269320000
08/23/2021,35160.96875,35428.910156,35160.96875,35335.710938,35335.710938,245760000
08/24/2021,35382.71875,35445.46875,35356.179688,35366.261719,35366.261719,228710000
