Date,Open,High,Low,Close,Adj Close,Volume
10/26/2020,23520.779297,23572.599609,23475.519531,23494.339844,23494.339844,41700000
10/27/2020,23376.960938,23485.800781,23232.310547,23485.800781,23485.800781,52700000
10/28/2020,23372.609375,23451.029297,23334.230469,23418.509766,23418.509766,67100000
10/29/2020,23170.759766,23374.099609,23170.759766,23331.939453,23331.939453,57500000
10/30/2020,23320.710938,23320.710938,22948.470703,22977.130859,22977.130859,76700000
11/02/2020,23110.740234,23370.910156,23096.789063,23295.480469,23295.480469,69700000
11/04/2020,23619.580078,23801.880859,23505.779297,23695.230469,23695.230469,81600000
11/05/2020,23776.199219,24112.419922,23756.779297,24105.279297,24105.279297,78600000
11/06/2020,24076.220703,24389.0,24039.160156,24325.230469,24325.230469,73200000
11/09/2020,24568.839844,24962.800781,24541.279297,24839.839844,24839.839844,67000000
11/10/2020,25087.300781,25279.939453,24833.179688,24905.589844,24905.589844,128200000
11/11/2020,25145.660156,25401.300781,25145.660156,25349.599609,25349.599609,102500000
11/12/2020,25439.349609,25587.960938,25316.599609,25520.880859,25520.880859,80500000
11/13/2020,25405.640625,25456.179688,25215.310547,25385.869141,25385.869141,77600000
11/16/2020,25652.689453,25928.179688,25640.289063,25906.929688,25906.929688,84900000
11/17/2020,26043.449219,26057.300781,25851.539063,26014.619141,26014.619141,84800000
11/18/2020,25860.550781,25882.140625,25656.699219,25728.140625,25728.140625,69200000
11/19/2020,25628.730469,25650.859375,25474.939453,25634.339844,25634.339844,82000000
11/20/2020,25486.830078,25555.369141,25425.589844,25527.369141,25527.369141,63400000
11/24/2020,25901.449219,26261.779297,25901.449219,26165.589844,26165.589844,81700000
11/25/2020,26468.519531,26706.419922,26258.349609,26296.859375,26296.859375,92500000
11/26/2020,26255.470703,26560.029297,26255.470703,26537.310547,26537.310547,63500000
11/27/2020,26530.279297,26672.400391,26419.050781,26644.710938,26644.710938,86200000
11/30/2020,26830.099609,26834.199219,26405.830078,26433.619141,26433.619141,147700000
12/01/2020,26624.199219,26852.160156,26618.390625,26787.539063,26787.539063,73200000
12/02/2020,26884.990234,26889.900391,26695.279297,26800.980469,26800.980469,80200000
12/03/2020,26740.300781,26868.089844,26719.230469,26809.369141,26809.369141,69500000
12/04/2020,26697.259766,26799.830078,26646.080078,26751.240234,26751.240234,61600000
12/07/2020,26894.25,26894.25,26500.320313,26547.439453,26547.439453,61600000
12/08/2020,26380.320313,26523.300781,26327.080078,26467.080078,26467.080078,55100000
12/09/2020,26526.339844,26826.779297,26520.599609,26817.939453,26817.939453,61800000
12/10/2020,26688.5,26852.769531,26639.980469,26756.240234,26756.240234,69200000
12/11/2020,26732.849609,26819.410156,26553.009766,26652.519531,26652.519531,74900000
12/14/2020,26659.529297,26870.470703,26648.689453,26732.439453,26732.439453,60000000
12/15/2020,26683.109375,26736.839844,26605.539063,26687.839844,26687.839844,59300000
12/16/2020,26835.589844,26874.980469,26717.029297,26757.400391,26757.400391,61300000
12/17/2020,26744.5,26843.050781,26676.279297,26806.669922,26806.669922,61500000
12/18/2020,26775.529297,26824.289063,26707.300781,26763.390625,26763.390625,73800000
12/21/2020,26834.099609,26905.669922,26533.630859,26714.419922,26714.419922,60700000
12/22/2020,26559.330078,26639.990234,26361.660156,26436.390625,26436.390625,58600000
12/23/2020,26580.429688,26585.210938,26414.740234,26524.789063,26524.789063,56000000
12/24/2020,26635.109375,26764.529297,26605.259766,26668.349609,26668.349609,47900000
12/25/2020,26708.099609,26716.609375,26638.279297,26656.609375,26656.609375,33400000
12/28/2020,26691.289063,26854.029297,26664.599609,26854.029297,26854.029297,50700000
12/29/2020,26936.380859,27602.519531,26921.140625,27568.150391,27568.150391,59400000
12/30/2020,27559.099609,27572.570313,27338.560547,27444.169922,27444.169922,50600000
01/04/2021,27575.570313,27602.109375,27042.320313,27258.380859,27258.380859,51500000
01/05/2021,27151.380859,27279.779297,27073.460938,27158.630859,27158.630859,55000000
01/06/2021,27102.849609,27196.400391,27002.179688,27055.939453,27055.939453,72700000
01/07/2021,27340.460938,27624.730469,27340.460938,27490.130859,27490.130859,98900000
01/08/2021,27720.140625,28139.029297,27667.75,28139.029297,28139.029297,84900000
01/12/2021,28004.369141,28287.369141,27899.449219,28164.339844,28164.339844,78800000
01/13/2021,28140.099609,28503.429688,28133.589844,28456.589844,28456.589844,70900000
01/14/2021,28442.730469,28979.529297,28411.580078,28698.259766,28698.259766,81900000
01/15/2021,28777.470703,28820.5,28477.029297,28519.179688,28519.179688,74100000
01/18/2021,28238.679688,28349.970703,28111.539063,28242.210938,28242.210938,51900000
01/19/2021,28405.490234,28720.910156,28373.339844,28633.460938,28633.460938,58200000
01/20/2021,28798.740234,28801.189453,28402.109375,28523.259766,28523.259766,69800000
01/21/2021,28710.410156,28846.150391,28677.609375,28756.859375,28756.859375,67700000
01/22/2021,28580.199219,28698.179688,28527.160156,28631.449219,28631.449219,66900000
01/25/2021,28698.890625,28822.289063,28566.849609,28822.289063,28822.289063,57300000
01/26/2021,28696.300781,28740.710938,28527.810547,28546.179688,28546.179688,63500000
01/27/2021,28665.339844,28754.990234,28542.0,28635.210938,28635.210938,69000000
01/28/2021,28169.269531,28360.480469,27975.849609,28197.419922,28197.419922,123900000
01/29/2021,28320.720703,28320.720703,27629.800781,27663.390625,27663.390625,91700000
02/01/2021,27649.070313,28107.099609,27649.070313,28091.050781,28091.050781,65700000
02/02/2021,28207.480469,28379.310547,28089.119141,28362.169922,28362.169922,67500000
02/03/2021,28482.710938,28669.949219,28402.300781,28646.5,28646.5,84000000
02/04/2021,28557.460938,28600.220703,28325.890625,28341.949219,28341.949219,81100000
02/05/2021,28631.460938,28785.710938,28548.269531,28779.189453,28779.189453,93200000
02/08/2021,28831.580078,29400.560547,28817.599609,29388.5,29388.5,93600000
02/09/2021,29435.609375,29585.75,29350.480469,29505.929688,29505.929688,86900000
02/10/2021,29412.550781,29562.929688,29368.179688,29562.929688,29562.929688,81100000
02/12/2021,29635.880859,29650.509766,29417.320313,29520.070313,29520.070313,79800000
02/15/2021,29662.410156,30092.339844,29662.410156,30084.150391,30084.150391,70300000
02/16/2021,30229.460938,30714.519531,30191.650391,30467.75,30467.75,81300000
02/17/2021,30366.820313,30398.199219,30191.009766,30292.189453,30292.189453,74800000
02/18/2021,30311.980469,30560.490234,30140.009766,30236.089844,30236.089844,77900000
02/19/2021,29970.589844,30169.589844,29847.330078,30017.919922,30017.919922,63700000
02/22/2021,30281.779297,30458.130859,30089.179688,30156.029297,30156.029297,62800000
02/24/2021,30020.109375,30089.589844,29671.699219,29671.699219,29671.699219,79300000
02/25/2021,30077.269531,30213.279297,30044.429688,30168.269531,30168.269531,70100000
02/26/2021,29753.730469,29760.310547,28966.009766,28966.009766,28966.009766,92900000
03/01/2021,29419.449219,29686.390625,29396.039063,29663.5,29663.5,62700000
03/02/2021,29939.75,29996.390625,29314.820313,29408.169922,29408.169922,70100000
03/03/2021,29482.119141,29604.369141,29336.599609,29559.099609,29559.099609,68800000
03/04/2021,29198.419922,29277.189453,28711.039063,28930.109375,28930.109375,75200000
03/05/2021,28725.480469,28867.830078,28308.570313,28864.320313,28864.320313,85800000
03/08/2021,29208.189453,29255.900391,28644.259766,28743.25,28743.25,92400000
03/09/2021,28748.869141,29053.560547,28609.210938,29027.939453,29027.939453,96700000
03/10/2021,29118.279297,29233.470703,28960.089844,29036.560547,29036.560547,83000000
03/11/2021,29033.919922,29255.419922,28995.330078,29211.640625,29211.640625,78500000
03/12/2021,29287.740234,29744.320313,29210.400391,29717.830078,29717.830078,96600000
03/15/2021,29804.5,29884.730469,29670.310547,29766.970703,29766.970703,94100000
03/16/2021,29770.390625,30026.400391,29755.470703,29921.089844,29921.089844,83800000
03/17/2021,29836.830078,29984.970703,29825.160156,29914.330078,29914.330078,74600000
03/18/2021,30148.480469,30485.0,30041.5,30216.75,30216.75,95400000
03/19/2021,29904.570313,30049.769531,29621.220703,29792.050781,29792.050781,128500000
03/22/2021,29444.099609,29472.980469,29107.630859,29174.150391,29174.150391,78800000
03/23/2021,29381.490234,29496.830078,28995.919922,28995.919922,28995.919922,79200000
03/24/2021,28765.550781,28867.669922,28379.060547,28405.519531,28405.519531,96000000
03/25/2021,28457.330078,28821.830078,28414.919922,28729.880859,28729.880859,72800000
03/26/2021,29068.519531,29240.740234,28953.220703,29176.699219,29176.699219,73700000
03/29/2021,29478.119141,29578.369141,29200.880859,29384.519531,29384.519531,107900000
